x,x_frac,y
800,0.1,0.8525
800,0.1,0.9625
800,0.1,0.94875
1600,0.2,0.9
1600,0.2,0.9225
1600,0.2,0.925
1600,0.2,0.9525
1600,0.2,0.935
1600,0.2,0.91125
1600,0.2,0.93125
1600,0.2,0.92375
1600,0.2,0.90625
1600,0.2,0.93125
1600,0.2,0.91
1600,0.2,0.88375
1600,0.2,0.8725
1600,0.2,0.965
1600,0.2,0.91
1600,0.2,0.9325
1600,0.2,0.93375
1600,0.2,0.94375
1600,0.2,0.93625
1600,0.2,0.93875
1600,0.2,0.93875
1600,0.2,0.8875
1600,0.2,0.92625
1600,0.2,0.91875
1600,0.2,0.93625
1600,0.2,0.93625
1600,0.2,0.94875
1600,0.2,0.9125
1600,0.2,0.83
1600,0.2,0.91125
1600,0.2,0.92
1600,0.2,0.9575
1600,0.2,0.93125
1600,0.2,0.95125
1600,0.2,0.955
1600,0.2,0.9325
1600,0.2,0.94625
1600,0.2,0.93125
1600,0.2,0.8525
1600,0.2,0.92625
1600,0.2,0.9175
1600,0.2,0.94125
1600,0.2,0.94125
1600,0.2,0.935
1600,0.2,0.955
1600,0.2,0.93625
1600,0.2,0.93125
1600,0.2,0.94375
1600,0.2,0.9175
1600,0.2,0.8975
1600,0.2,0.8975
1600,0.2,0.87125
1600,0.2,0.945
1600,0.2,0.9475
1600,0.2,0.935
1600,0.2,0.925
1600,0.2,0.92125
1600,0.2,0.93875
1600,0.2,0.89
1600,0.2,0.95
